Query,Intent,Response
What are the symptoms of COVID-19,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home??,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu??,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious??,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19??,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home??,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy??,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious??,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively??,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19??,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home??,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy??,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar??,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen??,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain??,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious??,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold??,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home??,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu??,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen??,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious??,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively??,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home??,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar??,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu??,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen??,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain??,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold??,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19??,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy??,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu??,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious??,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold??,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home??,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy??,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen??,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain??,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious??,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold??,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home??,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain??,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious??,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively??,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold??,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy??,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain??,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious??,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively??,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19??,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
Should I get vaccinated for the flu,Health Advice,"Yes, annual flu vaccination is recommended for most individuals."
What are the side effects of ibuprofen??,Drug Information,"Common side effects include stomach upset, dizziness, and nausea."
Can you suggest exercises for back pain??,Health Advice,Gentle stretches and yoga can help alleviate back pain.
How do I know if my condition is serious,Symptoms Inquiry,Seek immediate medical attention if symptoms are severe or worsening.
How to manage stress effectively??,Health Advice,"Try mindfulness, regular exercise, and consult a therapist if needed."
Are there any home remedies for a cold,Treatment Advice,"Drink warm fluids, rest, and try honey with tea for throat soothing."
What are the symptoms of COVID-19??,Symptoms Inquiry,"Common symptoms include fever, cough, and difficulty breathing."
How can I treat a fever at home??,Treatment Advice,"Stay hydrated, rest, and take paracetamol as directed."
Where can I find a nearby pharmacy??,Resource Lookup,Please use our pharmacy locator at [link].
What is the normal range for blood sugar,General Inquiry,Normal fasting blood sugar is 70-100 mg/dL.
